carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43
0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31
0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31
0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63
0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75
0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48
0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47
0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53
0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.38
0.23,Very Good,H,VS1,59.4,61,338,4,4.05,2.39
0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73
0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46
0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33
0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71
0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27
0.32,Premium,H,SI1,63,57,345,4.38,4.42,2.75
0.3,Ideal,I,SI2,62.5,55,348,4.25,4.28,2.66
0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7
0.3,Good,I,SI1,63.8,56,351,4.26,4.3,2.71
0.3,Very Good,H,SI1,63,57,351,4.26,4.32,2.71
0.3,Good,H,SI1,63.5,56,352,4.26,4.3,2.71
0.3,Good,H,SI1,63.8,56,352,4.1,4.15,2.63
0.23,Very Good,E,SI2,63.8,55,352,3.97,4.01,2.55
0.23,Good,H,VS1,61,69,353,3.94,3.96,2.41
0.32,Good,H,SI1,63.1,56,353,4.38,4.42,2.75
0.22,Good,F,SI1,63.4,61,354,3.88,3.85,2.44
0.3,Good,H,SI1,63,56,354,4.26,4.3,2.71
0.23,Very Good,H,SI2,63.2,56,354,3.97,4.01,2.53
0.22,Fair,E,VS2,65.1,61,355,3.87,3.78,2.38
0.32,Good,I,SI1,63.8,56,356,4.38,4.46,2.8
0.27,Premium,H,SI2,62.7,59,356,4.08,4.13,2.57
0.27,Good,I,SI1,63.5,56,357,4.08,4.1,2.6
0.3,Good,I,SI1,63,56,357,4.26,4.3,2.71
0.23,Very Good,I,SI1,62.8,56,357,3.93,3.9,2.46
0.26,Premium,H,SI2,62.4,58,357,4.07,4.11,2.56
0.23,Premium,H,SI2,62.1,59,357,3.97,4,2.47
0.3,Fair,I,SI1,64.4,57,357,4.24,4.3,2.75
0.23,Fair,E,SI1,61.8,60,357,3.99,3.97,2.46
0.3,Good,I,SI1,63.1,56,357,4.24,4.27,2.68
0.22,Premium,F,SI1,60.4,61,358,3.88,3.84,2.33
0.27,Good,I,SI1,63.9,56,358,4.08,4.1,2.61
0.27,Fair,I,SI1,63.2,56,358,4.08,4.13,2.59
0.24,Good,H,SI1,63,56,358,3.97,4.01,2.52
0.3,Fair,J,SI2,64.3,56,358,4.26,4.3,2.75
0.24,Fair,I,SI1,63,56,358,4,4.03,2.53
0.25,Fair,H,SI1,63.6,56,359,4.03,4.06,2.58
0.23,Good,I,SI1,63.1,56,359,3.95,3.98,2.5
0.27,Fair,I,SI1,63,56,359,4.08,4.12,2.6
0.23,Very Good,H,SI2,63.2,56,359,3.97,4.01,2.53
0.3,Good,H,SI1,63.1,56,359,4.26,4.29,2.7
0.31,Fair,I,SI1,64.4,57,360,4.35,4.4,2.81
0.27,Good,I,SI1,63.5,56,360,4.08,4.1,2.6
0.24,Premium,H,SI1,62.1,58,360,3.97,4,2.47
0.3,Very Good,I,SI1,63.2,56,360,4.24,4.27,2.68
0.24,Good,I,SI1,63,56,360,4,4.03,2.53
0.23,Good,I,SI2,63.1,56,360,3.95,3.98,2.5
0.28,Fair,I,SI1,63.6,56,360,4.16,4.21,2.67
0.3,Very Good,I,SI1,62.9,56,360,4.25,4.28,2.68
0.22,Premium,E,SI1,60.2,62,361,3.84,3.8,2.31
0.27,Good,I,SI1,63.2,56,361,4.08,4.1,2.59
0.29,Premium,I,VS2,62.4,58,362,4.2,4.23,2.63
0.22,Fair,E,VS2,65.1,61,362,3.87,3.78,2.38
0.3,Good,I,SI1,63,56,362,4.26,4.3,2.71
0.25,Premium,H,SI2,62.5,57,362,4.03,4.06,2.54
0.23,Very Good,I,SI1,62.8,56,362,3.93,3.9,2.46
0.27,Good,I,SI1,63.5,56,362,4.08,4.1,2.6
0.26,Good,I,SI1,63.1,56,362,4.08,4.1,2.59
0.23,Very Good,H,SI2,63.2,56,362,3.97,4.01,2.53
0.3,Good,I,SI1,63,56,362,4.26,4.3,2.71
0.3,Good,I,SI1,63.1,56,362,4.24,4.27,2.68
0.26,Fair,I,SI1,63.2,56,362,4.08,4.1,2.59
0.25,Very Good,H,SI1,62.8,56,362,4.03,4.06,2.54
0.24,Good,I,SI1,63,56,362,4,4.03,2.53
0.27,Very Good,I,SI1,63.4,56,362,4.08,4.1,2.6
0.26,Premium,I,SI1,62.2,57,362,4.07,4.11,2.56
0.27,Good,I,SI1,63.9,56,362,4.08,4.1,2.61
0.26,Good,I,SI1,63.1,56,362,4.08,4.1,2.59
0.23,Very Good,I,SI1,62.8,56,362,3.93,3.9,2.46
0.28,Good,I,SI1,63.4,56,363,4.16,4.2,2.66
0.27,Good,I,SI1,63.2,56,363,4.08,4.1,2.59
0.3,Good,I,SI1,63.1,56,363,4.24,4.27,2.68
0.27,Very Good,I,SI1,63.4,56,363,4.08,4.1,2.6
0.27,Good,I,SI1,63.5,56,363,4.08,4.1,2.6
0.24,Premium,H,SI1,62.1,58,363,3.97,4,2.47
0.26,Good,I,SI1,63.2,56,363,4.08,4.1,2.59
0.28,Good,I,SI1,63.6,56,363,4.16,4.2,2.67
0.3,Good,I,SI1,63,56,363,4.26,4.3,2.71
0.25,Very Good,H,SI1,62.8,56,363,4.03,4.06,2.54
0.24,Good,I,SI1,63,56,363,4,4.03,2.53
0.25,Good,H,SI1,63,56,363,4.02,4.06,2.54
0.28,Fair,I,SI1,63.6,56,363,4.16,4.21,2.67
0.27,Fair,I,SI1,63,56,363,4.08,4.12,2.6
0.27,Good,I,SI1,63.4,56,363,4.08,4.1,2.6
0.26,Very Good,I,SI1,63.1,56,363,4.08,4.1,2.59
0.26,Good,I,SI1,63.2,56,363,4.08,4.1,2.59
0.28,Fair,I,SI1,63.5,56,363,4.16,4.2,2.66
0.26,Very Good,I,SI1,63.1,56,363,4.08,4.1,2.59
0.26,Good,I,SI1,63.1,56,363,4.08,4.1,2.59
0.27,Good,I,SI1,63.5,56,363,4.08,4.1,2.6
0.26,Very Good,I,SI1,63.1,56,363,4.08,4.1,2.59
0.27,Good,I,SI1,63.5,56,363,4.08,4.1,2.6
